Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","42","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","14","S","Données standardisées"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","44","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","20","Botswana","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires","20","Botswana","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","18","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","21","Brésil","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","12915","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","21","Brésil","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","192","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","24","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","214","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","27","Bulgarie","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","98","S","Données standardisées"
"FBS","Bilans Alimentaires","27","Bulgarie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","86","S","Données standardisées"
"FBS","Bilans Alimentaires","27","Bulgarie","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","79","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","233","Burkina Faso","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","38","S","Données standardisées"
"FBS","Bilans Alimentaires","233","Burkina Faso","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","233","Burkina Faso","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","8","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","35","Cabo Verde","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","35","Cabo Verde","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","9","S","Données standardisées"
"FBS","Bilans Alimentaires","35","Cabo Verde","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","63","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","115","Cambodge","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","27","S","Données standardisées"
"FBS","Bilans Alimentaires","115","Cambodge","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","115","Cambodge","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","9","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","32","Cameroun","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","72","S","Données standardisées"
"FBS","Bilans Alimentaires","32","Cameroun","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","32","Cameroun","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","11","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","33","Canada","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1254","S","Données standardisées"
"FBS","Bilans Alimentaires","33","Canada","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","226","S","Données standardisées"
"FBS","Bilans Alimentaires","33","Canada","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","145","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","40","Chili","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","676","S","Données standardisées"
"FBS","Bilans Alimentaires","40","Chili","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","81","S","Données standardisées"
"FBS","Bilans Alimentaires","40","Chili","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","153","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","96","Chine - RAS de Hong-Kong","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","28","S","Données standardisées"
"FBS","Bilans Alimentaires","96","Chine - RAS de Hong-Kong","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1186","S","Données standardisées"
"FBS","Bilans Alimentaires","96","Chine - RAS de Hong-Kong","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","197","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","128","Chine - RAS de Macao","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","128","Chine - RAS de Macao","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","17","S","Données standardisées"
"FBS","Bilans Alimentaires","128","Chine - RAS de Macao","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","145","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","41","Chine, continentale","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","18265","S","Données standardisées"
"FBS","Bilans Alimentaires","41","Chine, continentale","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","584","S","Données standardisées"
"FBS","Bilans Alimentaires","41","Chine, continentale","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","63","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","214","Chine, Taiwan Province de","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","642","S","Données standardisées"
"FBS","Bilans Alimentaires","214","Chine, Taiwan Province de","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","116","S","Données standardisées"
"FBS","Bilans Alimentaires","214","Chine, Taiwan Province de","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","124","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","50","Chypre","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","22","S","Données standardisées"
"FBS","Bilans Alimentaires","50","Chypre","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBS","Bilans Alimentaires","50","Chypre","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","85","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","44","Colombie","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1276","S","Données standardisées"
"FBS","Bilans Alimentaires","44","Colombie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","58","S","Données standardisées"
"FBS","Bilans Alimentaires","44","Colombie","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","95","Fc","Donnée calculée"
